frame_no,letter,magnitude,letter_yaw_component,letter_pitch_component,letter_roll_component,level,size,first_frame,last_frame,face_no,speaking,conf_part,fps
0,-,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
1,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
2,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
3,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
4,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
5,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
6,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
7,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
8,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
9,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
10,-,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
11,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
12,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
13,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
14,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
15,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
16,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
17,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
18,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
19,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
20,-,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
21,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
22,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
23,,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1,0,-1,-1
